title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
My Body ,Mae V. Cowdery,Cowdery,"My body
Is an ugly thing
Fashioned by God.
My body
Is an empty thing
Made from crumbling sod.
My soul...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,,,Philadelphia,Predom. Black,
Nostalgia,Jessie Fauset,Fauset,"Lonely log cabin
On the road to Nostalgia,
Sighing and sagging and quaking;
Letme breath to the heart...",December,1927,Black Opals,Gwendolyn Bennett,Free Verse,female,Harlem,,Philadelphia,Predom. Black,
Jazz Girl ,Langston Hughes,Hughes,"Jazz?
Remember that song
About the winds in the trees
Singing me pretty melodies?
Was nice, wasn’t it?
Hear that...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,"Jazz, Music",,Philadelphia,Predom. Black,
Blue Bayou,Langston Hughes,Hughes,"I went walkin’
By de blue bayou
An’ I saw de sun go down.
I thought about old...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,Lynching and Racialized Violence,,Philadelphia,Predom. Black,
Return to Sea ,Langston Hughes,Hughes,"Today I go back to the sea
And the wind-beaten rise of the foam.
Today I go...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,Travel-Migration-Great Migration,,Philadelphia,Predom. Black,
He Made Me Sing ,Gertrude P. McBrown,McBrown,"God knew I'd struggled lone and long,
He heard me crying in the night;
He knew I...",December,1927,Black Opals,Gwendolyn B. Bennett,,female,Music,,Philadelphia,Predom. Black,
Fairies and Brownies ,Gertrude P. McBrown,McBrown,"Yes, I believe in fairies. 
I believe in brownies too.
Yes, I believein fairies.
Because I know...",December,1927,Black Opals,Gwendolyn B. Bennett,,female,,,Philadelphia,Predom. Black,
The Elf-Man ,Gertrude P. McBrown,McBrown,"One sunny Autumn day
When I went out to play,
An Elf-man in a tree
Dropped colored leaves...",December,1927,Black Opals,Gwendolyn B. Bennett,,female,,,Philadelphia,Predom. Black,
Twin Heavens,Gertrude P. McBrown,McBrown,"An endless stretch of blue
Flecked with wee silver lights,
A luminous, laughing ball
Brightening the inky nights.
Little...",December,1927,Black Opals,Gwendolyn B. Bennett,,female,,,Philadelphia,Predom. Black,
I'll Win ,James H. Young,Young,"Damn everybody—
White folks push me down
Black  ones keep me there—”
Then they say, “Keep him...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,male,"Racism, Racial Progress and Uplift ",,Philadelphia,Predom. Black,
Aunt Hagar's Children,James H. Young,Young,"Aunt Hagar’s children
Ain't got no stockin’s on, stockin’s on,
Aunt Hagar’s children
Ain’t got no stockin’s on,
‘Tis...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,"Poverty, Religion",,Philadelphia,Predom. Black,
Dream Lady,James H. Young,Young ,"O lady of my dreams—
In love’s garden I found you,
While stars above us shone and
Lit...",Spring,1927,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,male,,,Philadelphia,Predom. Black,
Cinquains ,Lewis Alexander,Alexander,"1. 
As if
It were a ball
Thrown by children playing
The moon rolls down the sky street
Gaily,
2.
I...",December,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Cinquain,male,,,Philadelphia,Predom. Black,
Escape ,Lewis Alexander,Alexander,"I turned to the world for silence
   But only turmoil kept 
The very...",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,,,Philadelphia,Predom. Black,
Love in These Days ,Mae V. Cowdery,Cowdery,"Her eyes were hard
And his bitter
As they sat and watched 
The fire fade
From the ashes...",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,,,Philadelphia,Predom. Black,
Nameless ,Mae V. Cowdery,Cowdery,"How like the restless beating
Of our hearts
Is the surge of the sea;
How like the tumult
Of...",December,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,female,,,Philadelphia,Predom. Black,
To D.T. ,Edward S. Silvera,Silvera,"I pray that God will grant you these,
Faith . . .
That holds like roots of...",December,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,male,,,Philadelphia,Predom. Black,
Empire ,Walter Waring,Waring,"Come out, young men,
To guard our gold,
To guard our gold, 
And watch our land........
They wait...",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free Verse,male,Empire,,Philadelphia,Predom. Black,
Retort ,Walter Waring,Waring,"Though you point out our lowly birth
And boast your finer, nobler earth,
You do not cite,...",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,,,Philadelphia,Predom. Black,
Hope,Louise Alston Burleigh,Burleigh,"I will not cease searching
For places unknown,
I will not cease hoping
To kneel at the Throne;
But...",December,1905,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
Years That Are To Come,James D. Corrothers,Corrothers,"Stream of Time, each wavelet year
   Shall lose its own in thee,
From source...",January,1905,Colored American,Fred R. Moore,,male,,,New York,Predom. Black,
Two Poems,Will H. Hendrickson,Hendrickson,"Night--The Hypnotist

Again old night has pitched her airy tent,
And holds her hands outstretched high over...",May,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Selfishness,Will H. Hendrickson,Hendrickson,"Gone are the roses that blossomed
While the withered buds remain,
Greedily hugging their sweetness
Till the very...",August ,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Fame,Will H. Hendrickson,Hendrickson,"His silken web the spider spun 
While all the earth was wrapped in sleep,
Then silently...",September,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
A Hot Summer's Day,Will H. Hendrickson,Hendrickson,"Aeolus  holds in his sombre cave
The myriad winds that roar and wave;
The clouds, those...",October,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Lazy,Will H. Hendrickson,Hendrickson,"O my, dat sun  
Jes cooked me done,
De air so clos'
Done did his mos'
To...",November,1905,Colored American Magazine,Fred R. Moore,,male,AAVE,,New York,Predom. Black,
At Christmas Time,Will H. Hendrickson,Hendrickson,"There's a joy in every breeze 
At Christmas time,
As it sings about the eaves
At Christmas...",December,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Cup of Knowledge,Charles Bertram Johnson,Johnson,"They brought me, tempting - red, Life's richest wine,
The mad thirst four hundred years did...",January,1905,Colored American,Fred R. Moore,Sonnet,male,Progress and Racial Uplift,,New York,Predom. Black,
A Shell,Charles Bertram Johnson,Johnson,"Nay, once I have not seen the sea, nor know,
By long familiar ear, her varying...",February,1905,Colored American,Fred R. Moore,Sonnet,male,Travel-Migration-Great Migration,,New York,Predom. Black,
Herbstgefuhl,Charles Bertram Johnson,Johnson,"The silence of night is abroad and far,
The Earth, empty of summer's song-filled hours,
Is quiet...",February,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Dreamer,Charles Bertram Johnson,Johnson,"Like vast nebulæ spinning into space
Scintillant worlds of light, his fine spun dreams
Are nebulæ of...",April,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Higher Morn,Charles Bertram Johnson,Johnson,"Ah, Gentle One! with patient eyes,
I've waited long to catch one gleam
Of that fair morn...",June,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Past ,Charles Bertram Johnson,Johnson,"Safe by my study fire
Wrapped in the peace of dreams
Time, like an ashen pyre,
Burns down...",August ,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Constancy,T. H. Malone,Malone,"Two stood at the bend of the road one day;
One day in the blossoming Spring,
One...",May,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Song of the Rain,T. H.Malone,Malone,"What is de song de cool rain sings 
As de day begins to break?
""Li'l chillun...",July,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Trial on Mount Olympus,George B. Thornton,Thornton,"I
It was on Mount Olympus, in a still hour of the night,
The gods were all...",February,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
A Wise and Foolish Maid,James R. Tinus,Tinus,"Two maidens sat beside a brook,
And both were young and both were fair;
The rose vines,...",June,1905,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Chicamauga,H. Harrison Wayman,Wayman,"There is music in a cabin way down in Tennessee,
And there's a dusky hero in...",January,1905,Colored American Magazine,Fred R. Moore,,male,Native American,,New York,Predom. Black,
Caanian,Matthew D. Bennett,Bennett,"Deah Dinah ain't you heahed de news 'bout dat ar culud man, 
Way up No'th,...",March,1906,Colored American Magazine,Fred R. Moore,,male,"AAVE, Travel-Migration-Great Migration",,New York,Predom. Black,
The Knocker,Matthew D. Bennett,Bennett,"WHEN a man who is married stays out half the night
And gambles and drinks and...",March,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Bell Boy in the Clock,Matthew D. Bennett,Bennett,"WHEN you is feelin' drowsy,
An' bags, deys comin' in,
Wid bell boys rushin' right an' lef',
'Midst...",April,1906,Colored American Magazine,Fred R. Moore,,male,"AAVE, Labor",,New York,Predom. Black,
A Wounded Heart,Louise Alston Burleigh,Burleigh,"Poor wounded Heart,
Alone, forsaken as it is
Tis faithful yet--
All that is left is thine
And no...",January,1906,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
A Sigh For Rest,Alice H. Cunningham,Cunningham,"World-tired, I trudge my onward way
O'er the same drear path from day to day;
There seems...",February,1906,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
The Colored Soldiers,Paul Laurence Dunbar,Dunbar,"If the muse were mine to tempt it
   And my feeble voice were...",December,1906,Colored American Magazine,Fred R. Moore,,male,"Civil War, Patriotism",Majors and Minors,New York,Predom. Black,
The Pyramids,T. Thomas Fortune,Fortune,"Upon the future life we build,
As built the toilers of the Nile,
Whose rude and ruthless...",January,1906,Colored American Magazine,Fred R. Moore,,male,"Africa, Labor",,New York,Predom. Black,
The Elsmeres,T. Thomas Fortune,Fortune,"Before the Ark on Ararat a lodgment found
The Elsmeres dwelt in clouds of doubt and...",March,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Love's Divinest Power,T. Thomas Fortune,Fortune,"LET mad ambition strive to gain
The cherished wish that yields but pain;
Let others seek for...",December,1906,Colored American Magazine,Fred R. Moore,,male,,Dreams of Life,New York,Predom. Black,
The Aspirations of the Soul,T. Thomas Fortune,Fortune,"The pathway up the mountain may be plain,
But who can rob th' ascent of toil...",December,1906,Colored American Magazine,Fred R. Moore,,male,,Dreams of Life,New York,Predom. Black,
"Cova Up Yo' Head, Honey",Will H. Hendrickson,Hendrickson,"DE snow am jes' a fallin', an it's gittin' mighty col',
   Covah up...",February,1906,Colored American Magazine,Fred R. Moore,,male,AAVE,,New York,Predom. Black,
The Coming of the Night,Will H. Hendrickson,Hendrickson,"Night comes unnoticed o'er the Eastern hills,
The blessed benediction of the day,
And with his soothing...",September,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Christmas,Charles Bertram Johnson,Johnson,"You ask why Ise happy, 
Jus' lack Ise gwine to fly;
Well, whah's you been a-stayin'?
Yoh...",February,1906,Colored American Magazine,Fred R. Moore,,male,AAVE,,New York,Predom. Black,
In March,Charles Bertram Johnson,Johnson,"The last chill wind brought snow and ice and sleet;
Like Christmas trees a dawn from...",March,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
To an Oak,Charles Bertram Johnson,Johnson,"Oh, oak! long years the stress of storm and wind
Has made thy limbs exult in...",April,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
A Larger Life,Charles Bertram Johnson,Johnson,"Give me a heart made brave and strong
A life lived sweet in sorrow's hour,
A living...",May,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Round de Fireplace Wid Rindy,Dora Lawrence,Lawrence,"SOME folks lake de dew ob Summer,
Some folks lake de ba'm ob Spring,
Odders hankers fer...",June,1906,Colored American Magazine,Fred R. Moore,,female,AAVE,,New York,Predom. Black,
Autumn,James Edward McCall,McCall,"There comes each year a season drear
Which with its frosty breath
Doth sing unto the saddened...",October,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Three Gifts,James Edward McCall,McCall,"Blest trio of godly dowers!
Music , poetry and flowers!
By thy aid the weary soul
Glimpses its...",October,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Tell-Tale Face,James Edward McCall,McCall,"The face is but a mystic veil of glass 
Through whichmess the spirit's ev'ry changing...",October,1906,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Paul Lawrence Dunbar (In Memoriam),Joseph Samuel Reed,Reed,"His life so earthly to be spent,
The greatest singer of his race
His Lyre, a self-made...",April,1906,Colored American Magazine,Fred R. Moore,,male,"Intertext, Paul Laurence Dunbar",,New York,Predom. Black,
A Punished Pun,Langston Aray,Aray,"A story of the butter 
And a story of the fly.
Would give you comprehension,
If someone...",June,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Sandy Andy Lindy Mo,Louise Alston Burleigh,Burleigh,"Bes' new baby evah yet,
Looks real rich an' brown you bet;
Gwine give him long name...",December ,1907,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
Song of the Smoke,W.E.B. Du Bois,Du Bois,"I am the Smoke King
I am black!
I am swinging in the sky,
I am wringing worlds...",February,1907,Horizon,W.E.B. Du Bois,Free Verse,male,"Labor, Racism",The Crisis,New York,Predom. Black,
The Twenty-Fifth Infantry,T. Grant Gilmore,Gilmore,"Come, boys! there's a call to arms. 
Our country needs our and 
Don't think of...",January,1907,Colored American Magazine,Fred R. Moore,,male,"Spanish-American War, Patriotism, Lynching and Racialized Violence",,New York,Predom. Black,
Selfishness,Will H. Hendrickson,Hendrickson,"Gone are the roses that blossomed
While the withered buds remain,
Greedily hugging their sweetness
Till the very...",April,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Hammers,Ralph Hodgson,Hodgson,"Noise of hammers once I heard,
Many hammers, busy hammers,
Beating, shaping, night and day,
Shaping, beating dust...",May,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Oh! Happy Youth,Thomas H. Peterson,Peterson,"Oh! happy youth, before whose feet
The pathway lies both straight and fair,
How little doth thou...",May,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Rural Night Scenes ,Olivia Seivis,Seivis,"Twas in the gloaming , deep in forest shade
When shadows darken, and the ghost, unlaid,
Wrapping...",October,1907,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
Autumn,Daniel B. Thompson,Thompson,"    There is a joy
A feeling sweet without alloy,
   ...",November,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
A Prayer,Ralph W. Tyler,Tyler,"O Father, God of the universe wide!
Humbly, lo these many years , have we prayed
To...",November ,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Simple Rule,Ralph W. Tyler,Tyler,"I know a little human weakness
   That hesitates man's best intention,
And since days...",December ,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
To Elizabeth,Josephine Turpin Washington,Washington,"Little maid of gentle mien,
In all the wide, wide world, I ween
There beats no kinder,...",August,1907,Colored American Magazine,Fred R. Moore,,female,Motherhood,,New York,Predom. Black,
The Black Sampson,Josephine Heard,Heard,"There's a Sampson lying, sleeping in the land, 
He shall soon awake, and with avenging...",April,1907,Colored American Magazine,Fred R. Moore,,female,"Labor, Racism, Progress and Racial Uplift",,New York,Predom. Black,
The Ideal,I. Dwight Fairfield,Fairfield,"When I hear a youth expand,
""I have such an ideal friend,""
I think, while I silent...",April,1907,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Untold,Gertrude H. Dorsey Brown,Brown,"There are heroes in the great beyond
Whose names no history tells;
There are many in the...",September,1907,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
The Way of Life,Carrie Williams Clifford,Clifford,"Oh, come, Love, let us take a walk
Down the Way of Life together;
Storms may come,...",September,1907,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black ,
John Greenleaf Whittier,Paul Laurence Dunbar,Dunbar,"Not o'er thy dust let there be spent
The gush of maudlin sentiment;
Such drift as that...",December ,1907,Colored American Magazine,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
Retrospection,Paul Laurence Dunbar,Dunbar,"When you and I were young, the days
Were filled with scent of pink and rose,
And...",May,1907,Colored American Magazine,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
If,Paul Laurence Dunbar,Dunbar,"If life were but a dream, my Love,
    And death the waking...",July,1908,Colored American,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
Spring Song,Paul Laurence Dunbar,Dunbar,"A BLUE -BELL springs upon the ledge ,
Alark sits singing in the hedge;
Sweet perfumes scent...",April,1908,Colored American,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
Disappointed,Paul Laurence Dunbar,Dunbar," An old man planted and dug and tended,
    Toiling in joy...",June,1908,Colored American,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
By The Stream,Paul Laurence Dunbar,Dunbar,"By the stream I dream in calm delight, and watch as in a glass,
 ...",June,1908,Colored American ,Fred R. Moore,,male,,Lyrics of Lowly Life,New York,Predom. Black,
Frederick Douglass,Paul Laurence Dunbar,Dunbar,"A hush is over all the teeming lists,
And there is pause, a breath-space in the...",February,1908,Colored American,Fred R. Moore,"Sestain, Elegy",male,Frederick Douglass,Majors and Minors,New York,Predom. Black,
Beyond the Years,Paul Laurence Dunbar,Dunbar,"BEYOND the years the answer lies ,
   Beyond where brood the grieving skies
...",January,1908,Colored American,Fred R. Moore,,male,,,New York,Predom. Black,
Booker Washington,Louise Cass Evans,Evans,"How more than brave and passing wise ,
   He holds his majesty of...",January,1908,Colored American,Fred R. Moore,,female,,,New York,Predom. Black,
We Know No More,T. Thomas Fortune,Fortune,"I sometimes feel that life contains
   Nothing, in all its wealth, to pay
For...",April,1908,Colored American ,Fred R. Moore,Common Measure,male,,Dreams of Life,New York,Predom. Black,
The Colored Girl,Omah Neal,Neal,"OH colored girl of thee I sing!
Thy virtue like the sun and dew
Distill the sweets...",May,1908,Colored American,Fred R. Moore,,,Race: Black Beauty,,New York,Predom. Black,
Paul Laurence Dunbar,Theodore Henry Shackelford,Shackelford,"An immortal name and eternal fame
Are not judged by color of the skin,
The true and...",November,1908,Colored American,Fred R. Moore,Common Measure,male,Paul Laurence Dunbar,,New York,Predom. Black,
The Negro Editor,Ralph W. Tyler,Tyler,"AS long as this race of ours shall live,
   With strident voice he...",February,1908,Colored American,Fred R. Moore,,male,,,New York,Predom. Black,
Prologue,Robert Baylor West,West,"Cheer up, faint heart, a day dawns brighter,
That makes the heavy heart beat lighter,
A day...",October,1908,Colored American,Fred R. Moore,,male,,,New York,Predom. Black,
Content With My Own Calling,Peter E. Browne,Browne,"If I were a bird, a sweet song -bird
Which, far away, some tale had heard
Of...",January,1909,Colored American Magazine,Fred R. Moore,,male,Religion,,New York,Predom. Black,
In Days of Yore,George B. Thornton,Thornton,"On a bright, fantastic day,
In the flow'ry month of May,
Whilst upon a bow'ry fair,
Strolling in...",March,1909,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
Preparation,Paul Laurence Dunbar,Dunbar,"The little bird sits in the nest and sings
A shy, soft song to the morning...",March,1909,Colored American,Fred R. Moore,,male,,,New York,Predom. Black,
Booker T. Washington,George Reginald Margetson,Margetson,"Lead wisely on, thou God-appointed guide,
And save thy people from corroding pride;
In thy right hand...",March,1909,Colored American Magazine,Fred R. Moore,,male,"Progress and Racial Uplift, Booker T. Washington, ",,New York,Predom. Black,
You,Lady Emma Louise Phillips,Phillips,"Yesterday the world was beautiful and gay,
Roses and violets were blooming by the way,
The tiny...",May,1909,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
Rastus' Soliloquy,Roy Reginald,Reginald,"Lo'd ha' mussy, I is free,
   Free jes' lack ole massa is;
Jes' is...",May,1909,Colored American Magazine,Fred R. Moore,,male,,,New York,Predom. Black,
The Black Man,George Compton,Compton,"Out of the darkness
Out of the night,
Up from slavery
Into the light,
Pushing straight -forward,
Using his time
Fighting...",June,1909,Colored American Magazine,Fred R. Moore,,male,"Progress and Racial Uplift, Patriotism",,New York,Predom. Black,
June,Effie D. Threet,Threet,"Nature blushes 'neath the gaze
   Of the ardent sun,
Earth is teaming o'er with...",June,1909,Colored American Magazine,Fred R. Moore,,female,,,New York,Predom. Black,
The Brown and the Blue,Aubrey Bowser,Bowser,"Out from your homes, ye patriots all!
   Ye son of Ethiope true!
With hearts...",August,1909,Colored American Magazine,George W. Harris,,male,"Spanish-American War, Empire, Patriotism, Civil War",,New York,Predom. Black,
A Forest Hymn,R. L. Simpson,Simpson,"What means that cadence, soft and low,
That rises, falls, in rhythmic flow?
   ...",August,1909,Colored American Magazine,George W. Harris,,male,,,New York,Predom. Black,
Dreams of Life (excerpt),T. Thomas Fortune,Fortune,"There were no kings of men till men
Made kings of men, and of the earth;
There...",September,1909,Colored American Magazine,George W. Harris,,male,Class,,New York,Predom. Black,
Not By Bread Alone,Silas X. Floyd,Floyd,"Alas, in those times, 'tis true in all climes, in spite of the lark that...",September,1909,Colored American Magazine,George W. Harris,,male,Religion,,New York,Predom. Black,
Keepers of the Temple,William Stanley Braithwaite,Braithwaite,"Earth -- out of Earth God shaped and made
All lovely things to signify His love:-
The...",September,1909,Colored American Magazine,George W. Harris,,male,"Science, Medicine",,New York,Predom. Black,
Hights Uv Ambishun,Stanford E. Davis,Davis,"Dere's times on life's mountin' clim'in,
   W'en my han's gits bleedin' so
Dat I...",November,1909,Colored American Magazine,George W. Harris,,male,AAVE,,New York,Predom. Black,
We Can Wait Still Longer,Henry Kent,Kent,"Let us be patient; we can wait still longer,
   Firm in the faith
That...",November,1909,Colored American Magazine,George W. Harris,,male,"Progress and Racial Uplift, Religion",,New York,Predom. Black,
The Tree of Tears,T. Thomas Fortune,Fortune,"The brooding Autumn days are here.
And no, also, the Tree of Tears — 
Through acuna...",November,1909,Colored American Magazine,George W. Harris,,male,Religion,,New York,Predom. Black,
The Vision,William Stanley Braithwaite,Braithwaite,"The Vision
By William Stanley Braithwaite

(McClure's Magazine for June.)

You are the vision, you are the image...",June,1911,McClure's,,Alexandrine,male,,The Crisis,New York,Predom. White,
Joseph Pulitzer,W.E.B. Du Bois,Du Bois,"Softly, quite softly—
For I hear, above the murmur of the sea,
Faint and far-fallen footsteps, as...",December,1911,The Crisis,W.E.B. Du Bois,Elegy,male,,New York World,New York,Predom. Black,
The Teacher,Leslie Pinckney Hill,Hill,"The Teacher

LORD, who am I to teach the way
To little children day by day,
So prone...",January,1911,The Crisis,W.E.B. Du Bois,,male,"Education, Religion",,New York,Predom. Black,
The Heart's Desire,Robert W. Justice,Justice,"Float ever by me
In countless numbers,
Like waves in the mighty sea,
Strange faces of alien gaze,
Hurrying...",August,1911,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
My Little Love Salome,L.A. Proctor,Proctor,"I have wander’d late and early to the spot I love so dearly,
Where the scent...",May,1911,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
In God's Gardens,W.E.B. Du Bois,Du Bois,"O mist-blown Lily of the north,
A-bnding southward in thy bloom,
And bringing beauty silver sown
And pale...",April,1912,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Rondeau,Jessie Fauset,Fauset,"When April's here and meadows wide 
Once more with spring's sweet growths are pied 
    I...",April,1912,The Crisis,W.E.B. Du Bois,Rondeau,female,,,New York,Predom. Black,
Vision of a Lyncher,Leslie Pinckney Hill,Hill,"[Written for The Crisis and dedicated to His Excellency, the Governor of South Carolina.]

Once looked I into...",January,1912,The Crisis,W.E.B. Du Bois,,male,"Lynching and Racialized Violence, Racism, Religion",,New York,Predom. Black,
